n,FLOP/s
8610,3.35442e+09
8620,3.35831e+09
8630,3.36221e+09
8640,3.3661e+09
8650,3.37e+09
8660,3.3739e+09
8670,3.37779e+09
8680,3.38169e+09
8690,3.34218e+09
8700,3.34603e+09
8710,3.34987e+09
8720,3.35372e+09
8730,3.35756e+09
8740,3.36141e+09
8750,3.28112e+09
8760,3.32646e+09
8770,3.24802e+09
8780,3.29238e+09
8790,3.38064e+09
8800,3.34165e+09
8810,3.34544e+09
8820,3.34924e+09
8830,3.35304e+09
8840,3.35684e+09
8850,3.36063e+09
8860,3.36443e+09
8870,3.36823e+09
8880,3.37203e+09
8890,3.37582e+09
8900,3.37962e+09
8910,3.34112e+09
8920,3.34488e+09
8930,3.34862e+09
8940,3.35238e+09
8950,3.35612e+09
8960,3.35988e+09
8970,3.36362e+09
8980,3.3258e+09
8990,3.37112e+09
9000,3.37488e+09
9010,3.37862e+09
9020,3.34062e+09
9030,3.34432e+09
9040,3.34802e+09
9050,3.35173e+09
9060,3.35543e+09
9070,3.35914e+09
9080,3.36284e+09
9090,3.36654e+09
9100,3.37025e+09
9110,3.3328e+09
9120,3.33646e+09
9130,3.36061e+09
9140,3.34378e+09
9150,3.34744e+09
9160,3.3511e+09
9170,3.31434e+09
9180,3.35841e+09
9190,3.36207e+09
9200,3.36573e+09
9210,3.36939e+09
9220,3.37305e+09
9230,3.37671e+09
9240,3.38037e+09
9250,3.34325e+09
9260,3.34687e+09
9270,3.35048e+09
9280,3.3541e+09
9290,3.35771e+09
9300,3.36133e+09
9310,3.36494e+09
9320,3.36855e+09
9330,3.14483e+09
9340,3.29635e+09
9350,3.33917e+09
9360,3.265e+09
9370,3.23092e+09
9380,3.29111e+09
9390,3.35345e+09
9400,3.31753e+09
9410,3.13656e+09
9420,3.19311e+09
9430,3.07489e+09
9440,3.31216e+09
9450,3.33518e+09
9460,3.37845e+09
9470,3.34224e+09
9480,3.34576e+09
9490,3.34929e+09
9500,3.35282e+09
9510,3.35635e+09
9520,3.35988e+09
9530,3.36341e+09
9540,3.36694e+09
9550,3.37047e+09
9560,3.374e+09
9570,3.37753e+09
9580,3.34174e+09
9590,3.34523e+09
9600,3.34872e+09
9610,3.35221e+09
9620,3.3557e+09
9630,3.35919e+09
9640,3.36267e+09
9650,3.36616e+09
9660,3.36965e+09
9670,3.37314e+09
9680,3.37663e+09
9690,3.36058e+09
9700,3.34471e+09
9710,3.34816e+09
9720,3.35161e+09
9730,3.35506e+09
9740,3.35851e+09
9750,3.36195e+09
9760,3.3654e+09
9770,3.36885e+09
9780,3.3723e+09
9790,3.37575e+09
9800,3.3408e+09
9810,3.3442e+09
9820,3.34761e+09
9830,3.35102e+09
9840,3.35443e+09
9850,3.35784e+09
9860,3.36125e+09
9870,3.36466e+09
9880,3.36807e+09
9890,3.37148e+09
9900,3.37489e+09
9910,3.34034e+09
9920,3.34371e+09
9930,3.34708e+09
9940,3.35045e+09
9950,3.35382e+09
9960,3.35719e+09
9970,3.36056e+09
9980,3.36393e+09
9990,3.3673e+09
10000,3.37067e+09
